trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,7,-73.08293915422861,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",25,0,-21.617247577711346,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9047516632199634}",25,0,-114.88346594887433,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-136.88193674209398,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.8960524975255252}",25,0,-103.80866332324622,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.891568288195329}",25,0,-53.65898353221208,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",25,0,-163.5426185392962,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.8823328586101215}",30,0,-165.15608039062207,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-62.90955070186223,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.8727445076457513}",20,0,-7.065809989185661,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8678191796776499}",25,0,-130.28817487040203,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.862807070514761}",25,0,-56.93741558316915,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-73.1388318861672,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,0,-141.55614968855613,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.8472551110134161}",20,0,-82.3741559258971,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.8419009751622687}",20,0,-138.0632848082215,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.8364626499151869}",20,0,-96.4234414939276,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.8309406791001636}",20,0,-84.8043635383188,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.8253356149096783}",30,0,-99.63924208483645,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8196480178454795}",25,0,-68.95115513212106,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8138784566625339}",25,0,-38.488295329949096,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-124.0823536307873,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.8020957578842927}",20,0,-55.02345208498836,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.7960837985490558}",20,0,-48.44367318817285,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
